Date,Adj Close
2025-04-01,24.90780529
2025-04-02,24.90780529
2025-04-03,24.91776864
2025-04-04,24.91776864
2025-04-07,24.93769534
2025-04-08,24.94765869
2025-04-09,24.94765869
2025-04-10,24.95762014
2025-04-11,24.95762014
2025-04-14,24.97754684
2025-04-15,24.97754684
2025-04-16,24.98751019
2025-04-17,24.99747354
2025-04-21,25.01740024
2025-04-22,25.01740024
2025-04-23,25.02736359
2025-04-24,25.03732504
2025-04-25,25.03732504
2025-04-28,25.05725174
2025-04-29,25.05725174
2025-04-30,25.06721509
2025-05-01,25.06721509
2025-05-02,25.07717844
2025-05-05,25.09710514
2025-05-06,25.10706849
2025-05-07,25.11702994
2025-05-08,25.11702994
2025-05-09,25.12699329
2025-05-12,25.13695664
2025-05-13,25.13695664
2025-05-14,25.14691999
2025-05-15,25.14691999
2025-05-16,25.15688334
2025-05-19,25.17681004
2025-05-20,25.17681004
2025-05-21,25.18677339
2025-05-22,25.18677339
2025-05-23,25.19673674
2025-05-27,25.21666154
2025-05-28,25.22662489
2025-05-29,25.22662489
2025-05-30,25.14691999
2025-06-02,25.08206075
2025-06-03,25.08206075
2025-06-04,25.09199447
2025-06-05,25.09199447
2025-06-06,25.10192819
2025-06-09,25.12179562
2025-06-10,25.12179562
2025-06-11,25.13172744
2025-06-12,25.13172744
2025-06-13,25.14166116
2025-06-16,25.16152859
2025-06-17,25.16152859
2025-06-18,25.17146231
2025-06-20,25.18139603
2025-06-23,25.20126346
2025-06-24,25.20126346
2025-06-25,25.21119528
2025-06-26,25.21119528
2025-06-27,25.221129
2025-06-30,25.07212704
2025-07-01,25.07228603
2025-07-02,25.08221981
2025-07-03,25.08221981
2025-07-07,25.11202115
2025-07-08,25.11202115
2025-07-09,25.12195493
2025-07-10,25.12195493
2025-07-11,25.14182059
2025-07-14,25.16168815
2025-07-15,25.16168815
2025-07-16,25.16168815
2025-07-17,25.17162193
2025-07-18,25.18155571
2025-07-21,25.20142327
2025-07-22,25.20142327
2025-07-23,25.21135516
2025-07-24,25.21135516
2025-07-25,25.22128894
2025-07-28,25.23122272
2025-07-29,25.23122272
2025-07-30,25.2411565
2025-07-31,25.07228603
2025-08-01,25.07820351
2025-08-04,25.0881357
2025-08-05,25.09806789
2025-08-06,25.09806789
2025-08-07,25.10800008
2025-08-08,25.10800008
2025-08-11,25.11793227
2025-08-12,25.12786256
2025-08-13,25.13779475
2025-08-14,25.13779475
2025-08-15,25.13779475
2025-08-18,25.15765913
2025-08-19,25.15765913
2025-08-20,25.16759132
2025-08-21,25.17752351
2025-08-22,25.17752351
2025-08-25,25.20731818
2025-08-26,25.20731818
2025-08-27,25.22718256
2025-08-28,25.22718256
2025-08-29,25.0881357
2025-09-02,25.08826994
2025-09-03,25.09820219
2025-09-04,25.09820219
2025-09-05,25.10813443
2025-09-08,25.12799702
2025-09-09,25.13792926
2025-09-10,25.13792926
2025-09-11,25.1478615
2025-09-12,25.1478615
2025-09-15,25.16772599
2025-09-16,25.17765823
2025-09-22,25.20745306
2025-09-23,25.20745306
2025-09-24,25.2173853
2025-09-25,25.2173853
2025-09-26,25.22731755
2025-09-29,25.24718203
2025-09-30,25.08826994
2025-10-01,25.09834534
2025-10-02,25.10827763
2025-10-03,25.10827763
2025-10-06,25.12814034
2025-10-07,25.12814034
2025-10-09,25.14800494
2025-10-10,25.14800494
2025-10-13,25.16786953
2025-10-14,25.17780183
2025-10-15,25.17780183
2025-10-16,25.18773413
2025-10-17,25.19766643
2025-10-20,25.21752913
2025-10-21,25.21752913
2025-10-22,25.22746143
2025-10-23,25.22746143
2025-10-24,25.23739373
2025-10-27,25.24732603
2025-10-28,25.25725833
2025-10-29,25.25725833
2025-10-30,25.26719063
2025-10-31,25.09834534
2025-11-03,25.10709503
2025-11-04,25.11702686
2025-11-05,25.11702686
2025-11-06,25.12695679
2025-11-07,25.13688862
2025-11-10,25.17661595
2025-11-11,25.18654778
2025-11-12,25.18654778
2025-11-13,25.19647961
2025-11-14,25.20640955
2025-11-17,25.21634138
2025-11-18,25.22627321
2025-11-19,25.23620504
2025-11-20,25.23620504
2025-11-21,25.24613687
2025-11-24,25.26600053
2025-11-25,25.2560687
2025-11-26,25.26600053
2025-11-28,25.11702686
2025-12-01,25.29000092
2025-12-02,25.29999924
2025-12-03,25.30999947
2025-12-04,25.30999947
2025-12-05,25.31999969
2025-12-08,25.32999992
2025-12-09,25.34000015
2025-12-10,25.34000015
2025-12-11,25.35000038
2025-12-12,25.36000061
2025-12-15,25.37000084
2025-12-16,25.37999916
2025-12-17,25.38999939
2025-12-18,25.38999939
2025-12-19,25.39999962
2025-12-22,25.42000008
2025-12-23,25.42000008
2025-12-24,25.43000031
2025-12-26,25.44000053
