fund,proxy,correlation,first_proxy_date,overlap_years,scale_used,proxy_type,proxy_tickers,proxy_weights
FDUIX,ISHAX,0.8441934890922647,2015-12-01,1.9028062970568105,1.0626840950912475,single,ISHAX,1.0
FECRX,SRLN,0.8157246141724857,2015-12-01,4.974674880219028,0.49636093725927694,single,SRLN,1.0
FEREX,GNR,0.9077765322046631,2015-12-01,3.991786447638604,0.20937091724604784,single,GNR,1.0
FERLX,BKLN,0.4567207338204714,2015-12-01,0.6598220396988365,1.2675765040636855,single,BKLN,1.0
FESCX,VBR,0.9730110028184236,2015-12-01,4.375085557837098,0.06196621837236028,single,VBR,1.0
FESMX,IJH,0.979636081700326,2015-12-01,3.247091033538672,0.1974395198721536,single,IJH,1.0
SGOV,BIL,0.9972136964168191,2015-12-01,5.492128678986996,1.09058675905503,single,BIL,1.0
